zip,year,median_income,median_rent,rent_to_income,pct_renter,poverty_rate,pct_bachelors_plus,pct_white,pct_black,pct_asian,pct_hispanic,pct_male,pct_female,pct_under18,pct_elderly
20001,2018,109318.0,2021,0.22184818602608902,0.6445158614969936,0.15550693626331355,0.5013485743642435,0.3974441304906242,0.4081256956931244,0.06944087678739617,0.08941262094357394,0.4837314838599195,0.5162685161400805,0.09362959157462111,0.07900933299083826
20002,2018,84892.0,1558,0.22023276633840647,0.6063175515848466,0.14596160811300254,0.44780029278064565,0.4081670390631019,0.468788042222051,0.030896062870791278,0.06322520995454195,0.4794051930040835,0.5205948069959164,0.1660220355959627,0.08797287926650743
20003,2018,126323.0,2037,0.19350395414928398,0.5346480629823057,0.10101080759679619,0.6007112421106591,0.5992054592637683,0.2746932367923622,0.027392432640246052,0.06000704834524077,0.5185339441899208,0.4814660558100791,0.14429884983820843,0.09582545734149232
20004,2018,147522.0,2597,0.2112498474803758,0.6023166023166023,0.05468354430379747,0.8222784810126582,0.6643037974683544,0.034430379746835445,0.12050632911392405,0.12455696202531645,0.5215189873417722,0.47848101265822784,0.07189873417721519,0.10531645569620253
20005,2018,94611.0,1885,0.2390842502457431,0.7749784933021998,0.10127640176265006,0.6352291635153532,0.5428830736651036,0.15201936166994404,0.08538798971411284,0.18801996672212978,0.4983361064891847,0.5016638935108153,0.07933746785660263,0.08546362123733171
20006,2018,46319.0,1760,0.45596839310002374,0.9342806394316163,0.3884180790960452,0.13933236574746008,0.6088534107402032,0.09869375907111756,0.13642960812772134,0.10341074020319303,0.43940493468795355,0.5605950653120464,0.014150943396226415,0.017779390420899856
20007,2018,130920.0,1897,0.17387717690192483,0.4607166890982503,0.11983328872404696,0.6185690443364052,0.7313329947028517,0.051665336332631887,0.06904433640519556,0.11160293157245484,0.46448008127131557,0.5355199187286844,0.13939481895363182,0.13670996299252594
20008,2018,117195.0,1940,0.1986432868296429,0.6072810299993657,0.061918654539214,0.7302848219438504,0.7267203041721831,0.07054350409070849,0.05421461791764266,0.12740604949587533,0.46257256339749464,0.5374274366025054,0.1133177173507146,0.1829446311572801
20009,2018,107128.0,1794,0.2009558658800687,0.629327976625274,0.11587378172343916,0.6688220734117466,0.5844158336051576,0.1756816393882994,0.05800410614578736,0.1535583398890957,0.5158969242281789,0.4841030757718211,0.09758811903985264,0.08325498397835639
20010,2018,88463.0,1510,0.20483139843776493,0.6405197686395689,0.13465467919901922,0.45141589606199406,0.3816149569325613,0.2401117736870913,0.04447901362601907,0.29271454498314753,0.5015412093452021,0.4984587906547979,0.16722841586725434,0.06905194019531588
20011,2018,71569.0,1213,0.2033841467674552,0.47045435736158236,0.12834294895201928,0.3186258097387,0.1543198194919572,0.5638983914404251,0.020409054516340345,0.23206929179707403,0.48617803333575954,0.5138219666642405,0.2051532134798748,0.13757915423247688
20012,2018,91667.0,1248,0.16337395136744956,0.3902599539322145,0.07803165609410605,0.4128799461806617,0.2267139624487799,0.5367867408721179,0.015167268056999571,0.18910158400097854,0.4734878600697205,0.5265121399302795,0.22176013699467922,0.1702648156076081
