zip,year,median_income,median_rent,rent_to_income,pct_renter,poverty_rate,pct_bachelors_plus,pct_white,pct_asian,pct_hispanic,pct_male,pct_under18,pct_elderly
20001,2018,109318.0,2021,0.221848186026089,0.6445158614969936,0.1555069362633135,0.5013485743642435,0.3974441304906242,0.0694408767873961,0.0894126209435739,0.4837314838599195,0.0936295915746211,0.0790093329908382
20002,2018,84892.0,1558,0.2202327663384064,0.6063175515848466,0.1459616081130025,0.4478002927806456,0.4081670390631019,0.0308960628707912,0.0632252099545419,0.4794051930040835,0.1660220355959627,0.0879728792665074
20003,2018,126323.0,2037,0.1935039541492839,0.5346480629823057,0.1010108075967961,0.6007112421106591,0.5992054592637683,0.027392432640246,0.0600070483452407,0.5185339441899208,0.1442988498382084,0.0958254573414923
20004,2018,147522.0,2597,0.2112498474803758,0.6023166023166023,0.0546835443037974,0.8222784810126582,0.6643037974683544,0.120506329113924,0.1245569620253164,0.5215189873417722,0.0718987341772151,0.1053164556962025
20005,2018,94611.0,1885,0.2390842502457431,0.7749784933021998,0.10127640176265,0.6352291635153532,0.5428830736651036,0.0853879897141128,0.1880199667221297,0.4983361064891847,0.0793374678566026,0.0854636212373317
20007,2018,130920.0,1897,0.1738771769019248,0.4607166890982503,0.1198332887240469,0.6185690443364052,0.7313329947028517,0.0690443364051955,0.1116029315724548,0.4644800812713155,0.1393948189536318,0.1367099629925259
20008,2018,117195.0,1940,0.1986432868296429,0.6072810299993657,0.061918654539214,0.7302848219438504,0.7267203041721831,0.0542146179176426,0.1274060494958753,0.4625725633974946,0.1133177173507146,0.1829446311572801
20009,2018,107128.0,1794,0.2009558658800687,0.629327976625274,0.1158737817234391,0.6688220734117466,0.5844158336051576,0.0580041061457873,0.1535583398890957,0.5158969242281789,0.0975881190398526,0.0832549839783563
20010,2018,88463.0,1510,0.2048313984377649,0.6405197686395689,0.1346546791990192,0.451415896061994,0.3816149569325613,0.044479013626019,0.2927145449831475,0.5015412093452021,0.1672284158672543,0.0690519401953158
20011,2018,71569.0,1213,0.2033841467674552,0.4704543573615823,0.1283429489520192,0.3186258097387,0.1543198194919572,0.0204090545163403,0.232069291797074,0.4861780333357595,0.2051532134798748,0.1375791542324768
20012,2018,91667.0,1248,0.1633739513674495,0.3902599539322145,0.078031656094106,0.4128799461806617,0.2267139624487799,0.0151672680569995,0.1891015840009785,0.4734878600697205,0.2217601369946792,0.1702648156076081
20015,2018,158443.0,1679,0.1271624495875488,0.3145373088212575,0.0426237562952954,0.6172003659652333,0.7346142116498933,0.0564806343397377,0.1084476974687404,0.4852698993595608,0.2549557792009759,0.2103080207380299
20016,2018,150997.0,1925,0.1529831718510963,0.3048156117830378,0.0926595234287541,0.5667998735014231,0.7138544691372222,0.0714429462668545,0.1034125866084006,0.4484087054020642,0.1897766150130811,0.177730500531869
20017,2018,77560.0,1529,0.2365652398143373,0.4220611082340756,0.1427990649456245,0.3538386308068459,0.2517848410757946,0.0272860635696821,0.0893398533007334,0.465721271393643,0.1787775061124694,0.1749144254278728
20018,2018,64530.0,999,0.1857740585774058,0.41005291005291,0.1532779787071468,0.3108860251717394,0.1088101088101088,0.0138895853181567,0.0670912099483528,0.4557990272275986,0.2017249160106303,0.1875846161560447
20019,2018,36398.0,993,0.3273806253090829,0.6575399991601226,0.2785514419266663,0.0985868263473054,0.0103473053892215,0.0017405189620758,0.0284870259481037,0.4411497005988024,0.2628662674650698,0.1212455089820359
